date,state,district,pincode,age_0_5,age_5_17,age_18_greater
02-09-2025,Maharashtra,Nashik,423110,3,0,0
02-09-2025,Maharashtra,Nashik,423201,3,0,0
02-09-2025,Maharashtra,Nashik,423212,2,5,0
02-09-2025,Maharashtra,Nashik,423301,19,9,0
05-09-2025,Maharashtra,Nashik,422001,1,0,0
05-09-2025,Maharashtra,Nashik,422208,1,0,0
05-09-2025,Maharashtra,Nashik,423212,1,0,0
06-09-2025,Maharashtra,Nashik,422008,1,0,0
06-09-2025,Maharashtra,Nashik,422305,0,1,0
06-09-2025,Maharashtra,Nashik,423301,2,0,0
06-09-2025,Maharashtra,Nashik,423403,0,1,0
04-09-2025,Maharashtra,Nashik,422003,11,6,0
04-09-2025,Maharashtra,Nashik,422011,1,1,0
04-09-2025,Maharashtra,Nashik,422104,3,3,0
04-09-2025,Maharashtra,Nashik,422204,2,2,0
04-09-2025,Maharashtra,Nashik,422207,2,0,0
04-09-2025,Maharashtra,Nashik,422208,3,1,0
04-09-2025,Maharashtra,Nashik,422211,4,3,0
04-09-2025,Maharashtra,Nashik,422306,2,1,0
04-09-2025,Maharashtra,Nashik,422401,1,0,0
04-09-2025,Maharashtra,Nashik,423104,6,0,0
04-09-2025,Maharashtra,Nashik,423201,7,0,0
04-09-2025,Maharashtra,Nashik,423301,13,0,0
04-09-2025,Maharashtra,Nashik,423302,2,1,0
07-09-2025,Maharashtra,Nashik,423301,0,1,0
08-09-2025,Maharashtra,Nashik,422003,16,4,0
08-09-2025,Maharashtra,Nashik,422009,5,2,0
08-09-2025,Maharashtra,Nashik,422102,2,0,0
08-09-2025,Maharashtra,Nashik,422203,3,0,0
08-09-2025,Maharashtra,Nashik,422205,1,0,0
08-09-2025,Maharashtra,Nashik,422215,4,0,0
08-09-2025,Maharashtra,Nashik,422305,4,1,0
08-09-2025,Maharashtra,Nashik,422306,5,1,0
08-09-2025,Maharashtra,Nashik,422606,1,1,0
08-09-2025,Maharashtra,Nashik,423213,1,1,0
08-09-2025,Maharashtra,Nashik,423302,1,2,0
08-09-2025,Maharashtra,Nashik,423303,2,0,0
08-09-2025,Maharashtra,Nashik,423401,3,6,0
08-09-2025,Maharashtra,Nashik,423402,1,0,0
08-09-2025,Maharashtra,Nashik,423501,7,2,0
09-09-2025,Maharashtra,Nashik,422004,2,2,0
09-09-2025,Maharashtra,Nashik,422012,4,1,0
09-09-2025,Maharashtra,Nashik,422101,10,1,1
09-09-2025,Maharashtra,Nashik,422103,5,3,0
09-09-2025,Maharashtra,Nashik,422206,1,0,0
09-09-2025,Maharashtra,Nashik,422208,9,2,0
09-09-2025,Maharashtra,Nashik,422303,4,1,0
09-09-2025,Maharashtra,Nashik,422502,2,1,0
09-09-2025,Maharashtra,Nashik,423101,2,1,0
09-09-2025,Maharashtra,Nashik,423105,6,4,0
09-09-2025,Maharashtra,Nashik,423110,4,3,0
09-09-2025,Maharashtra,Nashik,423301,14,4,0
10-09-2025,Maharashtra,Nashik,422010,1,1,0
10-09-2025,Maharashtra,Nashik,422104,1,0,0
10-09-2025,Maharashtra,Nashik,422209,5,0,0
10-09-2025,Maharashtra,Nashik,422211,13,1,0
10-09-2025,Maharashtra,Nashik,422306,3,0,0
10-09-2025,Maharashtra,Nashik,423106,2,1,0
10-09-2025,Maharashtra,Nashik,423201,3,0,0
11-09-2025,Maharashtra,Nashik,422006,4,2,0
11-09-2025,Maharashtra,Nashik,422204,4,0,0
11-09-2025,Maharashtra,Nashik,422301,1,0,0
11-09-2025,Maharashtra,Nashik,422303,9,0,0
11-09-2025,Maharashtra,Nashik,423111,0,2,0
11-09-2025,Maharashtra,Nashik,423117,3,0,0
11-09-2025,Maharashtra,Nashik,423302,1,3,0
14-09-2025,Maharashtra,Nashik,422010,3,2,0
14-09-2025,Maharashtra,Nashik,422011,1,1,0
12-09-2025,Maharashtra,Nashik,422203,4,1,0
12-09-2025,Maharashtra,Nashik,422207,1,1,0
12-09-2025,Maharashtra,Nashik,422208,9,4,0
12-09-2025,Maharashtra,Nashik,422212,1,3,0
12-09-2025,Maharashtra,Nashik,422303,6,2,0
12-09-2025,Maharashtra,Nashik,422401,3,0,0
12-09-2025,Maharashtra,Nashik,423204,7,0,0
13-09-2025,Maharashtra,Nashik,422004,1,0,0
13-09-2025,Maharashtra,Nashik,422006,1,2,0
13-09-2025,Maharashtra,Nashik,422113,1,0,0
13-09-2025,Maharashtra,Nashik,422210,1,1,0
13-09-2025,Maharashtra,Nashik,422213,0,2,0
13-09-2025,Maharashtra,Nashik,422606,2,0,0
13-09-2025,Maharashtra,Nashik,423208,0,1,0
13-09-2025,Maharashtra,Nashik,423401,1,1,0
13-09-2025,Maharashtra,Nashik,423502,2,0,0
15-09-2025,Maharashtra,Nashik,422006,1,1,0
15-09-2025,Maharashtra,Nashik,422009,3,1,0
15-09-2025,Maharashtra,Nashik,422011,1,0,0
15-09-2025,Maharashtra,Nashik,422103,6,1,0
15-09-2025,Maharashtra,Nashik,422210,0,1,0
15-09-2025,Maharashtra,Nashik,422215,2,0,0
15-09-2025,Maharashtra,Nashik,422403,3,0,0
15-09-2025,Maharashtra,Nashik,423101,2,3,0
15-09-2025,Maharashtra,Nashik,423212,2,2,0
15-09-2025,Maharashtra,Nashik,423302,4,1,0
16-09-2025,Maharashtra,Nashik,422001,1,1,0
16-09-2025,Maharashtra,Nashik,422009,5,2,0
16-09-2025,Maharashtra,Nashik,422012,0,1,0
16-09-2025,Maharashtra,Nashik,422104,1,0,0
16-09-2025,Maharashtra,Nashik,422208,11,2,0
16-09-2025,Maharashtra,Nashik,422301,0,1,0
16-09-2025,Maharashtra,Nashik,422303,2,1,0
16-09-2025,Maharashtra,Nashik,422606,1,1,0
16-09-2025,Maharashtra,Nashik,423111,3,0,0
16-09-2025,Maharashtra,Nashik,423202,0,1,0
16-09-2025,Maharashtra,Nashik,423301,10,2,0
16-09-2025,Maharashtra,Nashik,423302,1,1,0
16-09-2025,Maharashtra,Nashik,423501,6,0,0
16-09-2025,Maharashtra,Nashik,423502,7,5,0
17-09-2025,Maharashtra,Nashik,422008,1,0,0
17-09-2025,Maharashtra,Nashik,422102,1,2,0
17-09-2025,Maharashtra,Nashik,422105,1,0,0
17-09-2025,Maharashtra,Nashik,422214,1,0,0
17-09-2025,Maharashtra,Nashik,422403,6,1,0
17-09-2025,Maharashtra,Nashik,422502,2,1,0
17-09-2025,Maharashtra,Nashik,423104,4,2,0
17-09-2025,Maharashtra,Nashik,423106,13,2,0
17-09-2025,Maharashtra,Nashik,423117,1,0,0
17-09-2025,Maharashtra,Nashik,424109,2,1,0
19-09-2025,Maharashtra,Nashik,422002,1,1,0
19-09-2025,Maharashtra,Nashik,422010,2,1,0
19-09-2025,Maharashtra,Nashik,422203,2,3,0
19-09-2025,Maharashtra,Nashik,422204,0,2,0
19-09-2025,Maharashtra,Nashik,422210,1,0,0
19-09-2025,Maharashtra,Nashik,422212,2,2,0
19-09-2025,Maharashtra,Nashik,422302,1,1,0
19-09-2025,Maharashtra,Nashik,422306,1,0,0
19-09-2025,Maharashtra,Nashik,422403,4,2,0
19-09-2025,Maharashtra,Nashik,423104,6,3,0
19-09-2025,Maharashtra,Nashik,423111,3,0,0
19-09-2025,Maharashtra,Nashik,423403,1,1,0
19-09-2025,Maharashtra,Nashik,423502,4,1,0
18-09-2025,Maharashtra,Nashik,422001,2,1,0
18-09-2025,Maharashtra,Nashik,422006,3,1,0
18-09-2025,Maharashtra,Nashik,422009,7,2,0
18-09-2025,Maharashtra,Nashik,422102,2,0,0
18-09-2025,Maharashtra,Nashik,422209,5,0,0
18-09-2025,Maharashtra,Nashik,422308,3,0,0
18-09-2025,Maharashtra,Nashik,423101,4,2,0
18-09-2025,Maharashtra,Nashik,423212,1,1,0
18-09-2025,Maharashtra,Nashik,423213,2,0,0
20-09-2025,Maharashtra,Nashik,422012,4,2,0
20-09-2025,Maharashtra,Nashik,422013,4,2,0
20-09-2025,Maharashtra,Nashik,422202,1,0,0
20-09-2025,Maharashtra,Nashik,422204,2,0,0
20-09-2025,Maharashtra,Nashik,422209,1,1,0
20-09-2025,Maharashtra,Nashik,422502,1,0,0
20-09-2025,Maharashtra,Nashik,423104,8,1,0
20-09-2025,Maharashtra,Nashik,423117,1,0,0
20-09-2025,Maharashtra,Nashik,423201,2,0,0
20-09-2025,Maharashtra,Nashik,423203,35,19,2
20-09-2025,Maharashtra,Nashik,423212,2,0,0
20-09-2025,Maharashtra,Nashik,423301,1,0,0
22-09-2025,Maharashtra,Nashik,422003,8,2,0
22-09-2025,Maharashtra,Nashik,422101,4,2,0
22-09-2025,Maharashtra,Nashik,422215,2,0,0
22-09-2025,Maharashtra,Nashik,422303,2,0,0
22-09-2025,Maharashtra,Nashik,422402,2,1,0
22-09-2025,Maharashtra,Nashik,423105,1,1,0
22-09-2025,Maharashtra,Nashik,423117,2,0,0
22-09-2025,Maharashtra,Nashik,423213,2,0,0
21-09-2025,Maharashtra,Nashik,422001,1,0,0
21-09-2025,Maharashtra,Nashik,422010,1,0,0
21-09-2025,Maharashtra,Nashik,422606,1,1,0
25-09-2025,Maharashtra,Nashik,422002,1,0,0
25-09-2025,Maharashtra,Nashik,422007,7,3,0
25-09-2025,Maharashtra,Nashik,422008,1,0,0
25-09-2025,Maharashtra,Nashik,422011,1,1,0
25-09-2025,Maharashtra,Nashik,422208,4,1,0
25-09-2025,Maharashtra,Nashik,422302,1,0,0
25-09-2025,Maharashtra,Nashik,422303,1,0,0
25-09-2025,Maharashtra,Nashik,422606,1,0,0
25-09-2025,Maharashtra,Nashik,423104,2,0,0
25-09-2025,Maharashtra,Nashik,423117,1,1,0
25-09-2025,Maharashtra,Nashik,423201,1,0,0
25-09-2025,Maharashtra,Nashik,423205,3,5,0
25-09-2025,Maharashtra,Nashik,423206,2,0,0
25-09-2025,Maharashtra,Nashik,423501,4,1,0
23-09-2025,Maharashtra,Nashik,422012,1,0,0
23-09-2025,Maharashtra,Nashik,422401,1,1,0
23-09-2025,Maharashtra,Nashik,423117,1,1,0
23-09-2025,Maharashtra,Nashik,423203,24,24,1
23-09-2025,Maharashtra,Nashik,423402,1,1,0
24-09-2025,Maharashtra,Nashik,422001,3,1,0
24-09-2025,Maharashtra,Nashik,422002,1,0,0
24-09-2025,Maharashtra,Nashik,422003,3,7,0
24-09-2025,Maharashtra,Nashik,422007,4,0,0
24-09-2025,Maharashtra,Nashik,422012,3,1,0
24-09-2025,Maharashtra,Nashik,422202,1,1,0
24-09-2025,Maharashtra,Nashik,422206,2,0,0
24-09-2025,Maharashtra,Nashik,422305,1,0,0
24-09-2025,Maharashtra,Nashik,422306,1,2,0
24-09-2025,Maharashtra,Nashik,423101,3,1,0
24-09-2025,Maharashtra,Nashik,423106,7,3,0
24-09-2025,Maharashtra,Nashik,423202,2,0,0
24-09-2025,Maharashtra,Nashik,423212,3,3,0
24-09-2025,Maharashtra,Nashik,423403,1,0,0
27-09-2025,Maharashtra,Nashik,422005,1,0,0
27-09-2025,Maharashtra,Nashik,422006,0,1,0
27-09-2025,Maharashtra,Nashik,422104,0,1,0
27-09-2025,Maharashtra,Nashik,422211,0,3,0
27-09-2025,Maharashtra,Nashik,423105,2,0,0
27-09-2025,Maharashtra,Nashik,423206,1,0,0
27-09-2025,Maharashtra,Nashik,423502,2,2,0
26-09-2025,Maharashtra,Nashik,422005,1,0,0
26-09-2025,Maharashtra,Nashik,422006,3,0,0
26-09-2025,Maharashtra,Nashik,422209,3,0,0
26-09-2025,Maharashtra,Nashik,422211,6,1,0
26-09-2025,Maharashtra,Nashik,422303,2,1,0
26-09-2025,Maharashtra,Nashik,422502,2,0,0
26-09-2025,Maharashtra,Nashik,423101,5,0,0
26-09-2025,Maharashtra,Nashik,423105,1,1,0
26-09-2025,Maharashtra,Nashik,423117,2,1,0
26-09-2025,Maharashtra,Nashik,423402,1,2,0
26-09-2025,Maharashtra,Nashik,424109,1,2,0
28-09-2025,Maharashtra,Nashik,423203,1,1,0
29-09-2025,Maharashtra,Nashik,422006,2,0,0
29-09-2025,Maharashtra,Nashik,422101,1,0,0
29-09-2025,Maharashtra,Nashik,423208,0,8,0
26-10-2025,Maharashtra,Nashik,422008,1,0,0
26-10-2025,Maharashtra,Nashik,422212,2,1,0
26-10-2025,Maharashtra,Nashik,422214,1,0,0
26-10-2025,Maharashtra,Nashik,422403,2,1,0
26-10-2025,Maharashtra,Nashik,423203,12,15,1
26-10-2025,Maharashtra,Nashik,423403,0,1,0
26-10-2025,Maharashtra,Nashik,423501,2,0,0
13-10-2025,Maharashtra,Nashik,422001,4,1,0
13-10-2025,Maharashtra,Nashik,422104,0,1,0
13-10-2025,Maharashtra,Nashik,422201,1,0,0
13-10-2025,Maharashtra,Nashik,422213,0,1,0
13-10-2025,Maharashtra,Nashik,422214,1,0,0
13-10-2025,Maharashtra,Nashik,422403,7,0,0
13-10-2025,Maharashtra,Nashik,423101,2,0,0
13-10-2025,Maharashtra,Nashik,423104,10,1,0
13-10-2025,Maharashtra,Nashik,423110,1,0,0
13-10-2025,Maharashtra,Nashik,423401,4,3,0
16-10-2025,Maharashtra,Nashik,422205,1,0,0
16-10-2025,Maharashtra,Nashik,422222,1,0,0
16-10-2025,Maharashtra,Nashik,422301,0,1,0
16-10-2025,Maharashtra,Nashik,422305,2,0,0
16-10-2025,Maharashtra,Nashik,423105,2,0,0
16-10-2025,Maharashtra,Nashik,423203,19,14,1
16-10-2025,Maharashtra,Nashik,423204,0,1,0
16-10-2025,Maharashtra,Nashik,423212,1,0,0
16-10-2025,Maharashtra,Nashik,424109,2,0,0
15-10-2025,Maharashtra,Nashik,422206,1,0,0
15-10-2025,Maharashtra,Nashik,422207,3,0,0
15-10-2025,Maharashtra,Nashik,422212,3,1,0
15-10-2025,Maharashtra,Nashik,422222,1,0,0
15-10-2025,Maharashtra,Nashik,422303,1,1,0
15-10-2025,Maharashtra,Nashik,422305,4,1,0
15-10-2025,Maharashtra,Nashik,423106,3,2,0
15-10-2025,Maharashtra,Nashik,423203,46,26,0
15-10-2025,Maharashtra,Nashik,423205,1,1,0
15-10-2025,Maharashtra,Nashik,423206,2,0,0
15-10-2025,Maharashtra,Nashik,423501,6,0,0
15-10-2025,Maharashtra,Nashik,424109,2,1,0
18-10-2025,Maharashtra,Nashik,422002,2,0,0
18-10-2025,Maharashtra,Nashik,422003,8,1,1
18-10-2025,Maharashtra,Nashik,422006,2,0,0
18-10-2025,Maharashtra,Nashik,422204,2,0,0
18-10-2025,Maharashtra,Nashik,422207,0,0,1
18-10-2025,Maharashtra,Nashik,422208,1,0,0
18-10-2025,Maharashtra,Nashik,422302,2,0,0
18-10-2025,Maharashtra,Nashik,422303,1,0,1
18-10-2025,Maharashtra,Nashik,423104,3,0,0
18-10-2025,Maharashtra,Nashik,423106,10,1,0
18-10-2025,Maharashtra,Nashik,423303,1,0,0
18-10-2025,Maharashtra,Nashik,423401,4,1,0
18-10-2025,Maharashtra,Nashik,423403,0,1,0
18-10-2025,Maharashtra,Nashik,423502,4,0,0
17-10-2025,Maharashtra,Nashik,422004,4,2,0
17-10-2025,Maharashtra,Nashik,422007,3,1,0
17-10-2025,Maharashtra,Nashik,422008,3,1,0
17-10-2025,Maharashtra,Nashik,422105,1,0,0
17-10-2025,Maharashtra,Nashik,422202,4,1,0
17-10-2025,Maharashtra,Nashik,422206,0,0,1
17-10-2025,Maharashtra,Nashik,422207,3,0,0
17-10-2025,Maharashtra,Nashik,422209,2,0,2
17-10-2025,Maharashtra,Nashik,422211,11,2,0
17-10-2025,Maharashtra,Nashik,422212,6,0,0
17-10-2025,Maharashtra,Nashik,422305,3,0,0
17-10-2025,Maharashtra,Nashik,422401,4,0,0
17-10-2025,Maharashtra,Nashik,422402,12,3,0
17-10-2025,Maharashtra,Nashik,422403,11,3,0
17-10-2025,Maharashtra,Nashik,423110,3,0,0
17-10-2025,Maharashtra,Nashik,423201,3,0,0
17-10-2025,Maharashtra,Nashik,423205,3,3,0
17-10-2025,Maharashtra,Nashik,423401,12,1,0
17-10-2025,Maharashtra,Nashik,423403,2,0,0
17-10-2025,Maharashtra,Nashik,423502,3,0,0
20-10-2025,Maharashtra,Nashik,422102,1,0,0
20-10-2025,Maharashtra,Nashik,422204,2,1,0
20-10-2025,Maharashtra,Nashik,422208,1,0,0
20-10-2025,Maharashtra,Nashik,422303,1,0,0
20-10-2025,Maharashtra,Nashik,423213,1,0,0
19-10-2025,Maharashtra,Nashik,422004,2,0,0
19-10-2025,Maharashtra,Nashik,422101,6,1,0
19-10-2025,Maharashtra,Nashik,422222,2,0,0
19-10-2025,Maharashtra,Nashik,422305,2,1,0
19-10-2025,Maharashtra,Nashik,422401,1,0,0
19-10-2025,Maharashtra,Nashik,423102,3,0,0
19-10-2025,Maharashtra,Nashik,423104,2,0,0
19-10-2025,Maharashtra,Nashik,423203,61,16,2
19-10-2025,Maharashtra,Nashik,423208,2,1,0
19-10-2025,Maharashtra,Nashik,423302,1,0,0
19-10-2025,Maharashtra,Nashik,423403,1,0,0
24-10-2025,Maharashtra,Nashik,422003,0,1,0
24-10-2025,Maharashtra,Nashik,422009,2,0,0
24-10-2025,Maharashtra,Nashik,422012,1,0,0
24-10-2025,Maharashtra,Nashik,422208,1,1,0
24-10-2025,Maharashtra,Nashik,422308,4,0,0
24-10-2025,Maharashtra,Nashik,423201,0,1,0
24-10-2025,Maharashtra,Nashik,423203,15,12,2
24-10-2025,Maharashtra,Nashik,423301,1,0,0
24-10-2025,Maharashtra,Nashik,423502,1,0,0
21-10-2025,Maharashtra,Nashik,422012,1,0,0
21-10-2025,Maharashtra,Nashik,422403,1,0,0
21-10-2025,Maharashtra,Nashik,423401,0,1,0
25-10-2025,Maharashtra,Nashik,422003,5,1,0
25-10-2025,Maharashtra,Nashik,422203,3,0,0
25-10-2025,Maharashtra,Nashik,422211,3,0,0
25-10-2025,Maharashtra,Nashik,422214,1,0,0
25-10-2025,Maharashtra,Nashik,423205,1,0,0
25-10-2025,Maharashtra,Nashik,423401,2,1,0
27-10-2025,Maharashtra,Nashik,422003,2,0,0
27-10-2025,Maharashtra,Nashik,422005,1,0,0
27-10-2025,Maharashtra,Nashik,422010,1,1,0
27-10-2025,Maharashtra,Nashik,422211,0,1,0
27-10-2025,Maharashtra,Nashik,424109,0,1,0
28-10-2025,Maharashtra,Nashik,422001,0,0,2
28-10-2025,Maharashtra,Nashik,422003,0,1,0
28-10-2025,Maharashtra,Nashik,422006,1,0,0
28-10-2025,Maharashtra,Nashik,422008,2,0,0
28-10-2025,Maharashtra,Nashik,422010,1,1,0
28-10-2025,Maharashtra,Nashik,422012,2,0,0
28-10-2025,Maharashtra,Nashik,422013,1,0,0
28-10-2025,Maharashtra,Nashik,423205,0,0,1
29-10-2025,Maharashtra,Nashik,422004,1,1,0
29-10-2025,Maharashtra,Nashik,422006,2,0,0
29-10-2025,Maharashtra,Nashik,422302,1,0,0
29-10-2025,Maharashtra,Nashik,422402,1,0,0
29-10-2025,Maharashtra,Nashik,423303,1,0,0
30-10-2025,Maharashtra,Nashik,422005,1,0,0
30-10-2025,Maharashtra,Nashik,422007,8,3,0
30-10-2025,Maharashtra,Nashik,422008,3,1,0
30-10-2025,Maharashtra,Nashik,422010,6,5,0
30-10-2025,Maharashtra,Nashik,422013,1,0,0
30-10-2025,Maharashtra,Nashik,422102,2,1,0
30-10-2025,Maharashtra,Nashik,422112,1,0,0
30-10-2025,Maharashtra,Nashik,422113,1,0,0
30-10-2025,Maharashtra,Nashik,422213,1,1,0
30-10-2025,Maharashtra,Nashik,422222,1,0,0
30-10-2025,Maharashtra,Nashik,422401,6,0,0
30-10-2025,Maharashtra,Nashik,422502,1,1,0
30-10-2025,Maharashtra,Nashik,423105,5,0,0
30-10-2025,Maharashtra,Nashik,423208,3,0,0
30-10-2025,Maharashtra,Nashik,423301,6,3,0
06-11-2025,Maharashtra,Nashik,422003,3,0,0
06-11-2025,Maharashtra,Nashik,422004,1,0,0
06-11-2025,Maharashtra,Nashik,422010,2,0,0
06-11-2025,Maharashtra,Nashik,422112,1,0,0
06-11-2025,Maharashtra,Nashik,422203,2,1,0
06-11-2025,Maharashtra,Nashik,423101,1,0,0
06-11-2025,Maharashtra,Nashik,423105,1,0,0
06-11-2025,Maharashtra,Nashik,423106,1,0,0
06-11-2025,Maharashtra,Nashik,423204,1,0,0
05-11-2025,Maharashtra,Nashik,422002,1,0,0
05-11-2025,Maharashtra,Nashik,422009,7,1,0
05-11-2025,Maharashtra,Nashik,422010,4,1,0
05-11-2025,Maharashtra,Nashik,422013,2,0,0
05-11-2025,Maharashtra,Nashik,422101,7,1,0
05-11-2025,Maharashtra,Nashik,422103,2,1,0
05-11-2025,Maharashtra,Nashik,422207,2,0,0
05-11-2025,Maharashtra,Nashik,422210,1,1,0
05-11-2025,Maharashtra,Nashik,423102,1,0,0
05-11-2025,Maharashtra,Nashik,423204,4,1,0
05-11-2025,Maharashtra,Nashik,423206,1,0,0
08-11-2025,Maharashtra,Nashik,422101,2,1,0
08-11-2025,Maharashtra,Nashik,422102,1,0,0
08-11-2025,Maharashtra,Nashik,422103,5,0,0
08-11-2025,Maharashtra,Nashik,422203,3,0,0
08-11-2025,Maharashtra,Nashik,422305,2,0,0
08-11-2025,Maharashtra,Nashik,422606,2,0,0
08-11-2025,Maharashtra,Nashik,423105,7,1,0
08-11-2025,Maharashtra,Nashik,423108,2,0,0
08-11-2025,Maharashtra,Nashik,423208,0,1,0
07-11-2025,Maharashtra,Nashik,422003,10,3,1
07-11-2025,Maharashtra,Nashik,422012,1,0,0
07-11-2025,Maharashtra,Nashik,422202,1,0,0
07-11-2025,Maharashtra,Nashik,422212,2,0,0
07-11-2025,Maharashtra,Nashik,422214,1,0,0
07-11-2025,Maharashtra,Nashik,422215,2,0,0
07-11-2025,Maharashtra,Nashik,423202,1,0,0
07-11-2025,Maharashtra,Nashik,423213,3,2,0
07-11-2025,Maharashtra,Nashik,423301,4,0,0
09-11-2025,Maharashtra,Nashik,422002,2,0,0
09-11-2025,Maharashtra,Nashik,422007,2,0,0
09-11-2025,Maharashtra,Nashik,422012,3,1,0
09-11-2025,Maharashtra,Nashik,422013,1,0,0
09-11-2025,Maharashtra,Nashik,422202,4,1,0
09-11-2025,Maharashtra,Nashik,422207,1,0,0
09-11-2025,Maharashtra,Nashik,422211,6,1,0
09-11-2025,Maharashtra,Nashik,422305,0,1,0
09-11-2025,Maharashtra,Nashik,422403,3,0,0
09-11-2025,Maharashtra,Nashik,423208,2,1,0
09-11-2025,Maharashtra,Nashik,423212,1,1,0
09-11-2025,Maharashtra,Nashik,423213,1,4,0
09-11-2025,Maharashtra,Nashik,423502,1,0,0
09-11-2025,Maharashtra,Nashik,424109,1,0,0
10-11-2025,Maharashtra,Nashik,422008,4,0,0
10-11-2025,Maharashtra,Nashik,422210,4,0,0
10-11-2025,Maharashtra,Nashik,422403,0,1,0
10-11-2025,Maharashtra,Nashik,422502,2,1,0
10-11-2025,Maharashtra,Nashik,423201,3,0,0
10-11-2025,Maharashtra,Nashik,423206,2,1,0
10-11-2025,Maharashtra,Nashik,423403,1,0,0
10-11-2025,Maharashtra,Nashik,423501,2,1,0
14-11-2025,Maharashtra,Nashik,422002,1,0,0
14-11-2025,Maharashtra,Nashik,422012,4,0,0
14-11-2025,Maharashtra,Nashik,422202,4,1,0
14-11-2025,Maharashtra,Nashik,422203,7,0,0
14-11-2025,Maharashtra,Nashik,422209,3,0,0
14-11-2025,Maharashtra,Nashik,422210,2,0,0
14-11-2025,Maharashtra,Nashik,422303,1,1,0
14-11-2025,Maharashtra,Nashik,423203,14,14,0
14-11-2025,Maharashtra,Nashik,423402,2,0,0
13-11-2025,Maharashtra,Nashik,422005,1,1,0
13-11-2025,Maharashtra,Nashik,422006,3,0,0
13-11-2025,Maharashtra,Nashik,422008,1,0,0
13-11-2025,Maharashtra,Nashik,422010,2,2,0
13-11-2025,Maharashtra,Nashik,422101,4,1,0
13-11-2025,Maharashtra,Nashik,422303,1,0,0
13-11-2025,Maharashtra,Nashik,424109,1,0,0
01-11-2025,Maharashtra,Nashik,422006,1,0,0
01-11-2025,Maharashtra,Nashik,422101,1,0,0
01-11-2025,Maharashtra,Nashik,423302,1,0,0
01-11-2025,Maharashtra,Nashik,423401,1,0,0
31-10-2025,Maharashtra,Nashik,422007,3,0,0
31-10-2025,Maharashtra,Nashik,422008,2,1,0
31-10-2025,Maharashtra,Nashik,422009,8,1,0
31-10-2025,Maharashtra,Nashik,422010,4,4,0
31-10-2025,Maharashtra,Nashik,422212,2,1,0
31-10-2025,Maharashtra,Nashik,422305,2,0,0
31-10-2025,Maharashtra,Nashik,423205,3,0,0
31-10-2025,Maharashtra,Nashik,423301,7,1,0
03-11-2025,Maharashtra,Nashik,422001,2,1,0
03-11-2025,Maharashtra,Nashik,422005,2,0,0
03-11-2025,Maharashtra,Nashik,422007,1,1,0
03-11-2025,Maharashtra,Nashik,422101,2,0,1
03-11-2025,Maharashtra,Nashik,422103,7,0,0
03-11-2025,Maharashtra,Nashik,422203,1,1,0
03-11-2025,Maharashtra,Nashik,422303,0,1,0
03-11-2025,Maharashtra,Nashik,422304,1,0,0
03-11-2025,Maharashtra,Nashik,423101,2,0,0
03-11-2025,Maharashtra,Nashik,423104,3,0,0
